image,status,success,gt_xyxy,pred_center,pred_xyxy,pred_conf,topk,hit_center
datasets/temp/Screenshot_2023-10-24_164029.jpg,pred_ok,1,"287.0,938.0,891.0,1310.0","611.1,1126.0","334.4,908.4,887.8,1343.5",0.8184,1,"611.1,1126.0"
datasets/temp/Screenshot_2023-10-24_170836.jpg,pred_ok,1,"25.0,405.0,1080.0,1998.0","539.9,1138.4","0.7,446.4,1079.2,1830.4",0.9294,1,"539.9,1138.4"
datasets/temp/Screenshot_2023-10-26_143637.jpg,pred_ok,1,"278.0,980.0,678.0,1334.0","483.4,1141.6","281.9,975.4,685.0,1307.8",0.8181,1,"483.4,1141.6"
